Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BX2,WSPD,16/03/2024 20:00,0.90000,m/s,P
BX2,WSPD,16/03/2024 21:00,1.10000,m/s,P
BX2,WSPD,16/03/2024 22:00,1.50000,m/s,P
BX2,WSPD,16/03/2024 23:00,1.80000,m/s,P
BX2,WSPD,17/03/2024 00:00,1.50000,m/s,P
BX2,WSPD,17/03/2024 01:00,1.40000,m/s,P
BX2,WSPD,17/03/2024 02:00,1.30000,m/s,P
BX2,WSPD,17/03/2024 03:00,0.80000,m/s,P
BX2,WSPD,17/03/2024 04:00,0.60000,m/s,P
BX2,WSPD,17/03/2024 05:00,0.60000,m/s,P
BX2,WSPD,17/03/2024 06:00,0.50000,m/s,P
BX2,WSPD,17/03/2024 07:00,0.50000,m/s,P
BX2,WSPD,17/03/2024 08:00,0.60000,m/s,P
BX2,WSPD,17/03/2024 09:00,0.90000,m/s,P
BX2,WSPD,17/03/2024 10:00,1.40000,m/s,P
BX2,WSPD,17/03/2024 11:00,1.90000,m/s,P
BX2,WSPD,17/03/2024 12:00,1.30000,m/s,P
BX2,WSPD,17/03/2024 13:00,1.50000,m/s,P
BX2,WSPD,17/03/2024 14:00,1.30000,m/s,P
BX2,WSPD,17/03/2024 15:00,1.00000,m/s,P
BX2,WSPD,17/03/2024 16:00,1.00000,m/s,P
BX2,WSPD,17/03/2024 17:00,0.90000,m/s,P
BX2,WSPD,17/03/2024 18:00,1.20000,m/s,P
BX2,WSPD,17/03/2024 19:00,1.00000,m/s,P
BX2,WSPD,17/03/2024 20:00,1.60000,m/s,P
BX2,WSPD,17/03/2024 21:00,1.50000,m/s,P
BX2,WSPD,17/03/2024 22:00,1.00000,m/s,P
BX2,WSPD,17/03/2024 23:00,0.80000,m/s,P
BX2,WSPD,18/03/2024 00:00,0.60000,m/s,P
BX2,WSPD,18/03/2024 01:00,0.70000,m/s,P
BX2,WSPD,18/03/2024 02:00,0.30000,m/s,P
BX2,WSPD,18/03/2024 03:00,0.50000,m/s,P
BX2,WSPD,18/03/2024 04:00,1.00000,m/s,P
BX2,WSPD,18/03/2024 05:00,1.20000,m/s,P
BX2,WSPD,18/03/2024 06:00,0.60000,m/s,P
BX2,WSPD,18/03/2024 07:00,1.00000,m/s,P
BX2,WSPD,18/03/2024 08:00,0.90000,m/s,P
BX2,WSPD,18/03/2024 09:00,1.50000,m/s,P
BX2,WSPD,18/03/2024 10:00,1.30000,m/s,P
BX2,WSPD,18/03/2024 11:00,1.30000,m/s,P
BX2,WSPD,18/03/2024 12:00,1.40000,m/s,P
BX2,WSPD,18/03/2024 13:00,1.60000,m/s,P
BX2,WSPD,18/03/2024 14:00,1.60000,m/s,P
BX2,WSPD,18/03/2024 15:00,1.80000,m/s,P
BX2,WSPD,18/03/2024 16:00,1.60000,m/s,P
BX2,WSPD,18/03/2024 17:00,1.40000,m/s,P
BX2,WSPD,18/03/2024 18:00,0.90000,m/s,P
BX2,WSPD,18/03/2024 19:00,0.70000,m/s,P
BX2,WSPD,18/03/2024 20:00,0.80000,m/s,P
BX2,WSPD,18/03/2024 21:00,1.20000,m/s,P
BX2,WSPD,18/03/2024 22:00,1.10000,m/s,P
BX2,WSPD,18/03/2024 23:00,0.90000,m/s,P
BX2,WSPD,19/03/2024 00:00,0.80000,m/s,P
BX2,WSPD,19/03/2024 01:00,0.90000,m/s,P
BX2,WSPD,19/03/2024 02:00,0.60000,m/s,P
BX2,WSPD,19/03/2024 03:00,0.60000,m/s,P
BX2,WSPD,19/03/2024 04:00,0.60000,m/s,P
BX2,WSPD,19/03/2024 05:00,0.80000,m/s,P
BX2,WSPD,19/03/2024 06:00,0.90000,m/s,P
BX2,WSPD,19/03/2024 07:00,1.40000,m/s,P
BX2,WSPD,19/03/2024 08:00,1.70000,m/s,P
BX2,WSPD,19/03/2024 09:00,2.10000,m/s,P
BX2,WSPD,19/03/2024 10:00,2.00000,m/s,P
BX2,WSPD,19/03/2024 11:00,1.90000,m/s,P
BX2,WSPD,19/03/2024 12:00,1.90000,m/s,P
BX2,WSPD,19/03/2024 13:00,1.90000,m/s,P
BX2,WSPD,19/03/2024 14:00,1.90000,m/s,P
BX2,WSPD,19/03/2024 15:00,1.50000,m/s,P
BX2,WSPD,19/03/2024 16:00,1.10000,m/s,P
BX2,WSPD,19/03/2024 17:00,0.80000,m/s,P
BX2,WSPD,19/03/2024 18:00,0.70000,m/s,P
BX2,WSPD,19/03/2024 19:00,0.50000,m/s,P
BX2,WSPD,19/03/2024 20:00,0.40000,m/s,P
BX2,WSPD,19/03/2024 21:00,0.60000,m/s,P
BX2,WSPD,19/03/2024 22:00,0.50000,m/s,P
BX2,WSPD,19/03/2024 23:00,0.90000,m/s,P
BX2,WSPD,20/03/2024 00:00,0.70000,m/s,P
BX2,WSPD,20/03/2024 01:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 02:00,0.30000,m/s,P
BX2,WSPD,20/03/2024 03:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 04:00,0.50000,m/s,P
BX2,WSPD,20/03/2024 05:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 06:00,0.30000,m/s,P
BX2,WSPD,20/03/2024 07:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 08:00,0.50000,m/s,P
BX2,WSPD,20/03/2024 09:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 10:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 11:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 12:00,0.30000,m/s,P
BX2,WSPD,20/03/2024 13:00,0.60000,m/s,P
BX2,WSPD,20/03/2024 14:00,0.60000,m/s,P
BX2,WSPD,20/03/2024 15:00,0.60000,m/s,P
BX2,WSPD,20/03/2024 16:00,0.60000,m/s,P
BX2,WSPD,20/03/2024 17:00,0.50000,m/s,P
BX2,WSPD,20/03/2024 18:00,0.40000,m/s,P
BX2,WSPD,20/03/2024 19:00,0.50000,m/s,P
BX2,WSPD,20/03/2024 20:00,0.30000,m/s,P
BX2,WSPD,20/03/2024 21:00,0.30000,m/s,P
BX2,WSPD,20/03/2024 22:00,0.60000,m/s,P
BX2,WSPD,20/03/2024 23:00,0.90000,m/s,P
BX2,WSPD,21/03/2024 00:00,0.60000,m/s,P
BX2,WSPD,21/03/2024 01:00,0.70000,m/s,P
BX2,WSPD,21/03/2024 02:00,0.60000,m/s,P
BX2,WSPD,21/03/2024 03:00,0.40000,m/s,P
BX2,WSPD,21/03/2024 04:00,0.30000,m/s,P
BX2,WSPD,21/03/2024 05:00,0.30000,m/s,P
BX2,WSPD,21/03/2024 06:00,0.30000,m/s,P
BX2,WSPD,21/03/2024 07:00,0.40000,m/s,P
BX2,WSPD,21/03/2024 08:00,0.40000,m/s,P
BX2,WSPD,21/03/2024 09:00,0.70000,m/s,P
BX2,WSPD,21/03/2024 10:00,0.80000,m/s,P
BX2,WSPD,21/03/2024 11:00,1.40000,m/s,P
BX2,WSPD,21/03/2024 12:00,1.70000,m/s,P
BX2,WSPD,21/03/2024 13:00,1.80000,m/s,P
BX2,WSPD,21/03/2024 14:00,1.90000,m/s,P
BX2,WSPD,21/03/2024 15:00,1.80000,m/s,P
BX2,WSPD,21/03/2024 16:00,1.60000,m/s,P
BX2,WSPD,21/03/2024 17:00,1.20000,m/s,P
BX2,WSPD,21/03/2024 18:00,1.00000,m/s,P
BX2,WSPD,21/03/2024 19:00,1.20000,m/s,P
BX2,WSPD,21/03/2024 20:00,1.60000,m/s,P
BX2,WSPD,21/03/2024 21:00,1.90000,m/s,P
BX2,WSPD,21/03/2024 22:00,1.50000,m/s,P
BX2,WSPD,21/03/2024 23:00,1.50000,m/s,P
BX2,WSPD,22/03/2024 00:00,2.00000,m/s,P
BX2,WSPD,22/03/2024 01:00,1.90000,m/s,P
BX2,WSPD,22/03/2024 02:00,1.40000,m/s,P
BX2,WSPD,22/03/2024 03:00,1.30000,m/s,P
BX2,WSPD,22/03/2024 04:00,1.50000,m/s,P
BX2,WSPD,22/03/2024 05:00,1.30000,m/s,P
BX2,WSPD,22/03/2024 06:00,1.30000,m/s,P
BX2,WSPD,22/03/2024 07:00,1.30000,m/s,P
BX2,WSPD,22/03/2024 08:00,1.50000,m/s,P
BX2,WSPD,22/03/2024 09:00,1.60000,m/s,P
BX2,WSPD,22/03/2024 10:00,1.40000,m/s,P
BX2,WSPD,22/03/2024 11:00,1.20000,m/s,P
BX2,WSPD,22/03/2024 12:00,1.10000,m/s,P
BX2,WSPD,22/03/2024 13:00,0.90000,m/s,P
BX2,WSPD,22/03/2024 14:00,1.10000,m/s,P
BX2,WSPD,22/03/2024 15:00,1.40000,m/s,P
BX2,WSPD,22/03/2024 16:00,1.40000,m/s,P
BX2,WSPD,22/03/2024 17:00,1.20000,m/s,P
BX2,WSPD,22/03/2024 18:00,0.70000,m/s,P
BX2,WSPD,22/03/2024 19:00,1.30000,m/s,P
BX2,WSPD,22/03/2024 20:00,1.80000,m/s,P
BX2,WSPD,22/03/2024 21:00,1.50000,m/s,P
BX2,WSPD,22/03/2024 22:00,1.40000,m/s,P
BX2,WSPD,22/03/2024 23:00,1.40000,m/s,P
BX2,WSPD,23/03/2024 00:00,1.40000,m/s,P
BX2,WSPD,23/03/2024 01:00,1.60000,m/s,P
BX2,WSPD,23/03/2024 02:00,2.00000,m/s,P
BX2,WSPD,23/03/2024 03:00,1.70000,m/s,P
BX2,WSPD,23/03/2024 04:00,2.00000,m/s,P
BX2,WSPD,23/03/2024 05:00,2.00000,m/s,P
BX2,WSPD,23/03/2024 06:00,2.20000,m/s,P
BX2,WSPD,23/03/2024 07:00,2.30000,m/s,P
BX2,WSPD,23/03/2024 08:00,3.00000,m/s,P
BX2,WSPD,23/03/2024 09:00,3.50000,m/s,P
BX2,WSPD,23/03/2024 10:00,3.40000,m/s,P
BX2,WSPD,23/03/2024 11:00,3.40000,m/s,P
BX2,WSPD,23/03/2024 12:00,3.30000,m/s,P
BX2,WSPD,23/03/2024 13:00,3.40000,m/s,P
BX2,WSPD,23/03/2024 14:00,3.50000,m/s,P
BX2,WSPD,23/03/2024 15:00,3.00000,m/s,P
BX2,WSPD,23/03/2024 16:00,2.20000,m/s,P
BX2,WSPD,23/03/2024 17:00,1.50000,m/s,P
BX2,WSPD,23/03/2024 18:00,2.30000,m/s,P
BX2,WSPD,23/03/2024 19:00,2.30000,m/s,P
BX2,WSPD,23/03/2024 20:00,2.20000,m/s,P
BX2,WSPD,23/03/2024 21:00,2.80000,m/s,P
BX2,WSPD,23/03/2024 22:00,3.00000,m/s,P
BX2,WSPD,23/03/2024 23:00,2.80000,m/s,P
BX2,WSPD,24/03/2024 00:00,2.50000,m/s,P
BX2,WSPD,24/03/2024 01:00,2.60000,m/s,P
BX2,WSPD,24/03/2024 02:00,2.50000,m/s,P
BX2,WSPD,24/03/2024 03:00,3.00000,m/s,P
BX2,WSPD,24/03/2024 04:00,2.30000,m/s,P
BX2,WSPD,24/03/2024 05:00,2.20000,m/s,P
BX2,WSPD,24/03/2024 06:00,1.90000,m/s,P
BX2,WSPD,24/03/2024 07:00,2.30000,m/s,P
BX2,WSPD,24/03/2024 08:00,2.60000,m/s,P
BX2,WSPD,24/03/2024 09:00,3.10000,m/s,P
BX2,WSPD,24/03/2024 10:00,3.30000,m/s,P
BX2,WSPD,24/03/2024 11:00,3.20000,m/s,P
BX2,WSPD,24/03/2024 12:00,2.90000,m/s,P
BX2,WSPD,24/03/2024 13:00,2.80000,m/s,P
BX2,WSPD,24/03/2024 14:00,3.00000,m/s,P
BX2,WSPD,24/03/2024 15:00,2.60000,m/s,P
BX2,WSPD,24/03/2024 16:00,2.60000,m/s,P
BX2,WSPD,24/03/2024 17:00,2.30000,m/s,P
BX2,WSPD,24/03/2024 18:00,1.00000,m/s,P
BX2,WSPD,24/03/2024 19:00,0.40000,m/s,P
BX2,WSPD,24/03/2024 20:00,0.30000,m/s,P
BX2,WSPD,24/03/2024 21:00,0.30000,m/s,P
BX2,WSPD,24/03/2024 22:00,0.80000,m/s,P
BX2,WSPD,24/03/2024 23:00,0.40000,m/s,P
BX2,WSPD,25/03/2024 00:00,0.40000,m/s,P
BX2,WSPD,25/03/2024 01:00,0.30000,m/s,P
BX2,WSPD,25/03/2024 02:00,0.60000,m/s,P
BX2,WSPD,25/03/2024 03:00,0.40000,m/s,P
BX2,WSPD,25/03/2024 04:00,0.60000,m/s,P
BX2,WSPD,25/03/2024 05:00,0.50000,m/s,P
BX2,WSPD,25/03/2024 06:00,0.40000,m/s,P
BX2,WSPD,25/03/2024 07:00,0.60000,m/s,P
BX2,WSPD,25/03/2024 08:00,,m/s,P
BX2,WSPD,25/03/2024 09:00,2.00000,m/s,P
BX2,WSPD,25/03/2024 10:00,2.10000,m/s,P
BX2,WSPD,25/03/2024 11:00,1.80000,m/s,P
BX2,WSPD,25/03/2024 12:00,2.00000,m/s,P
BX2,WSPD,25/03/2024 13:00,2.10000,m/s,P
BX2,WSPD,25/03/2024 14:00,2.00000,m/s,P
BX2,WSPD,25/03/2024 15:00,2.10000,m/s,P
BX2,WSPD,25/03/2024 16:00,2.30000,m/s,P
BX2,WSPD,25/03/2024 17:00,2.00000,m/s,P
BX2,WSPD,25/03/2024 18:00,1.30000,m/s,P
BX2,WSPD,25/03/2024 19:00,1.10000,m/s,P
BX2,WSPD,25/03/2024 20:00,1.10000,m/s,P
BX2,WSPD,25/03/2024 21:00,1.30000,m/s,P
BX2,WSPD,25/03/2024 22:00,0.90000,m/s,P
BX2,WSPD,25/03/2024 23:00,0.90000,m/s,P
BX2,WSPD,26/03/2024 00:00,0.60000,m/s,P
BX2,WSPD,26/03/2024 01:00,0.70000,m/s,P
BX2,WSPD,26/03/2024 02:00,0.80000,m/s,P
BX2,WSPD,26/03/2024 03:00,0.50000,m/s,P
BX2,WSPD,26/03/2024 04:00,0.50000,m/s,P
BX2,WSPD,26/03/2024 05:00,0.40000,m/s,P
BX2,WSPD,26/03/2024 06:00,0.70000,m/s,P
BX2,WSPD,26/03/2024 07:00,0.80000,m/s,P
BX2,WSPD,26/03/2024 08:00,0.90000,m/s,P
BX2,WSPD,26/03/2024 09:00,0.90000,m/s,P
BX2,WSPD,26/03/2024 10:00,1.00000,m/s,P
BX2,WSPD,26/03/2024 11:00,1.20000,m/s,P
BX2,WSPD,26/03/2024 12:00,1.00000,m/s,P
BX2,WSPD,26/03/2024 13:00,1.00000,m/s,P
BX2,WSPD,26/03/2024 14:00,1.10000,m/s,P
BX2,WSPD,26/03/2024 15:00,0.90000,m/s,P
BX2,WSPD,26/03/2024 16:00,0.50000,m/s,P
BX2,WSPD,26/03/2024 17:00,0.80000,m/s,P
BX2,WSPD,26/03/2024 18:00,0.70000,m/s,P
BX2,WSPD,26/03/2024 19:00,0.50000,m/s,P
BX2,WSPD,26/03/2024 20:00,0.60000,m/s,P
BX2,WSPD,26/03/2024 21:00,0.40000,m/s,P
BX2,WSPD,26/03/2024 22:00,1.80000,m/s,P
BX2,WSPD,26/03/2024 23:00,2.10000,m/s,P
BX2,WSPD,27/03/2024 00:00,1.80000,m/s,P
BX2,WSPD,27/03/2024 01:00,0.70000,m/s,P
BX2,WSPD,27/03/2024 02:00,0.60000,m/s,P
BX2,WSPD,27/03/2024 03:00,0.40000,m/s,P
BX2,WSPD,27/03/2024 04:00,0.40000,m/s,P
BX2,WSPD,27/03/2024 05:00,0.40000,m/s,P
BX2,WSPD,27/03/2024 06:00,0.30000,m/s,P
BX2,WSPD,27/03/2024 07:00,0.60000,m/s,P
BX2,WSPD,27/03/2024 08:00,1.70000,m/s,P
BX2,WSPD,27/03/2024 09:00,2.50000,m/s,P
BX2,WSPD,27/03/2024 10:00,2.30000,m/s,P
BX2,WSPD,27/03/2024 11:00,3.00000,m/s,P
BX2,WSPD,27/03/2024 12:00,3.30000,m/s,P
BX2,WSPD,27/03/2024 13:00,3.00000,m/s,P
BX2,WSPD,27/03/2024 14:00,2.20000,m/s,P
BX2,WSPD,27/03/2024 15:00,,m/s,P
BX2,WSPD,27/03/2024 16:00,2.10000,m/s,P
BX2,WSPD,27/03/2024 17:00,1.80000,m/s,P
BX2,WSPD,27/03/2024 18:00,1.00000,m/s,P
BX2,WSPD,27/03/2024 19:00,0.40000,m/s,P
BX2,WSPD,27/03/2024 20:00,0.80000,m/s,P
BX2,WSPD,27/03/2024 21:00,1.20000,m/s,P
BX2,WSPD,27/03/2024 22:00,1.60000,m/s,P
BX2,WSPD,27/03/2024 23:00,2.00000,m/s,P
BX2,WSPD,28/03/2024 00:00,2.30000,m/s,P
BX2,WSPD,28/03/2024 01:00,2.20000,m/s,P
BX2,WSPD,28/03/2024 02:00,2.50000,m/s,P
BX2,WSPD,28/03/2024 03:00,2.10000,m/s,P
BX2,WSPD,28/03/2024 04:00,1.50000,m/s,P
BX2,WSPD,28/03/2024 05:00,1.40000,m/s,P
BX2,WSPD,28/03/2024 06:00,0.70000,m/s,P
BX2,WSPD,28/03/2024 07:00,1.10000,m/s,P
BX2,WSPD,28/03/2024 08:00,1.50000,m/s,P
BX2,WSPD,28/03/2024 09:00,1.80000,m/s,P
BX2,WSPD,28/03/2024 10:00,3.00000,m/s,P
BX2,WSPD,28/03/2024 11:00,3.00000,m/s,P
BX2,WSPD,28/03/2024 12:00,2.90000,m/s,P
BX2,WSPD,28/03/2024 13:00,2.90000,m/s,P
BX2,WSPD,28/03/2024 14:00,3.10000,m/s,P
BX2,WSPD,28/03/2024 15:00,3.10000,m/s,P
BX2,WSPD,28/03/2024 16:00,2.70000,m/s,P
BX2,WSPD,28/03/2024 17:00,3.20000,m/s,P
BX2,WSPD,28/03/2024 18:00,3.50000,m/s,P
BX2,WSPD,28/03/2024 19:00,3.50000,m/s,P
BX2,WSPD,28/03/2024 20:00,3.10000,m/s,P
BX2,WSPD,28/03/2024 21:00,3.00000,m/s,P
BX2,WSPD,28/03/2024 22:00,2.90000,m/s,P
BX2,WSPD,28/03/2024 23:00,2.80000,m/s,P
BX2,WSPD,29/03/2024 00:00,2.40000,m/s,P
BX2,WSPD,29/03/2024 01:00,1.40000,m/s,P
BX2,WSPD,29/03/2024 02:00,1.10000,m/s,P
BX2,WSPD,29/03/2024 03:00,1.20000,m/s,P
BX2,WSPD,29/03/2024 04:00,1.00000,m/s,P
BX2,WSPD,29/03/2024 05:00,0.40000,m/s,P
BX2,WSPD,29/03/2024 06:00,0.90000,m/s,P
BX2,WSPD,29/03/2024 07:00,1.90000,m/s,P
BX2,WSPD,29/03/2024 08:00,2.40000,m/s,P
BX2,WSPD,29/03/2024 09:00,2.20000,m/s,P
BX2,WSPD,29/03/2024 10:00,2.10000,m/s,P
BX2,WSPD,29/03/2024 11:00,2.30000,m/s,P
BX2,WSPD,29/03/2024 12:00,2.50000,m/s,P
BX2,WSPD,29/03/2024 13:00,2.00000,m/s,P
BX2,WSPD,29/03/2024 14:00,2.30000,m/s,P
BX2,WSPD,29/03/2024 15:00,2.40000,m/s,P
BX2,WSPD,29/03/2024 16:00,2.40000,m/s,P
BX2,WSPD,29/03/2024 17:00,1.50000,m/s,P
BX2,WSPD,29/03/2024 18:00,1.50000,m/s,P
BX2,WSPD,29/03/2024 19:00,0.80000,m/s,P
BX2,WSPD,29/03/2024 20:00,0.50000,m/s,P
BX2,WSPD,29/03/2024 21:00,0.30000,m/s,P
BX2,WSPD,29/03/2024 22:00,0.30000,m/s,P
BX2,WSPD,29/03/2024 23:00,0.40000,m/s,P
BX2,WSPD,30/03/2024 00:00,0.50000,m/s,P
BX2,WSPD,30/03/2024 01:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 02:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 03:00,0.50000,m/s,P
BX2,WSPD,30/03/2024 04:00,1.00000,m/s,P
BX2,WSPD,30/03/2024 05:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 06:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 07:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 08:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 09:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 10:00,0.40000,m/s,P
BX2,WSPD,30/03/2024 11:00,0.80000,m/s,P
BX2,WSPD,30/03/2024 12:00,1.20000,m/s,P
BX2,WSPD,30/03/2024 13:00,1.20000,m/s,P
BX2,WSPD,30/03/2024 14:00,1.00000,m/s,P
BX2,WSPD,30/03/2024 15:00,1.50000,m/s,P
BX2,WSPD,30/03/2024 16:00,1.50000,m/s,P
BX2,WSPD,30/03/2024 17:00,1.50000,m/s,P
BX2,WSPD,30/03/2024 18:00,1.10000,m/s,P
BX2,WSPD,30/03/2024 19:00,0.40000,m/s,P
BX2,WSPD,30/03/2024 20:00,0.30000,m/s,P
BX2,WSPD,30/03/2024 21:00,0.50000,m/s,P
BX2,WSPD,30/03/2024 22:00,0.40000,m/s,P
BX2,WSPD,30/03/2024 23:00,0.40000,m/s,P
BX2,WSPD,31/03/2024 00:00,0.50000,m/s,P
BX2,WSPD,31/03/2024 01:00,0.40000,m/s,P
BX2,WSPD,31/03/2024 02:00,0.40000,m/s,P
BX2,WSPD,31/03/2024 03:00,0.60000,m/s,P
BX2,WSPD,31/03/2024 04:00,0.80000,m/s,P
BX2,WSPD,31/03/2024 05:00,0.80000,m/s,P
BX2,WSPD,31/03/2024 06:00,0.60000,m/s,P
BX2,WSPD,31/03/2024 07:00,0.80000,m/s,P
BX2,WSPD,31/03/2024 08:00,1.00000,m/s,P
BX2,WSPD,31/03/2024 09:00,1.50000,m/s,P
BX2,WSPD,31/03/2024 10:00,2.00000,m/s,P
BX2,WSPD,31/03/2024 11:00,1.90000,m/s,P
BX2,WSPD,31/03/2024 12:00,1.70000,m/s,P
BX2,WSPD,31/03/2024 13:00,1.10000,m/s,P
BX2,WSPD,31/03/2024 14:00,1.00000,m/s,P
BX2,WSPD,31/03/2024 15:00,1.10000,m/s,P
BX2,WSPD,31/03/2024 16:00,1.00000,m/s,P
BX2,WSPD,31/03/2024 17:00,0.80000,m/s,P
BX2,WSPD,31/03/2024 18:00,0.60000,m/s,P
BX2,WSPD,31/03/2024 19:00,0.30000,m/s,P
BX2,WSPD,31/03/2024 20:00,0.30000,m/s,P
BX2,WSPD,31/03/2024 21:00,0.30000,m/s,P
BX2,WSPD,31/03/2024 22:00,0.30000,m/s,P
BX2,WSPD,31/03/2024 23:00,0.40000,m/s,P
BX2,WSPD,01/04/2024 00:00,0.30000,m/s,P
BX2,WSPD,01/04/2024 01:00,0.50000,m/s,P
BX2,WSPD,01/04/2024 02:00,0.80000,m/s,P
BX2,WSPD,01/04/2024 03:00,1.40000,m/s,P
BX2,WSPD,01/04/2024 04:00,1.40000,m/s,P
BX2,WSPD,01/04/2024 05:00,1.40000,m/s,P
BX2,WSPD,01/04/2024 06:00,0.90000,m/s,P
BX2,WSPD,01/04/2024 07:00,1.30000,m/s,P
BX2,WSPD,01/04/2024 08:00,2.00000,m/s,P
BX2,WSPD,01/04/2024 09:00,1.70000,m/s,P
BX2,WSPD,01/04/2024 10:00,1.70000,m/s,P
BX2,WSPD,01/04/2024 11:00,1.70000,m/s,P
BX2,WSPD,01/04/2024 12:00,1.30000,m/s,P
BX2,WSPD,01/04/2024 13:00,1.90000,m/s,P
BX2,WSPD,01/04/2024 14:00,2.00000,m/s,P
BX2,WSPD,01/04/2024 15:00,1.90000,m/s,P
BX2,WSPD,01/04/2024 16:00,1.50000,m/s,P
BX2,WSPD,01/04/2024 17:00,1.80000,m/s,P
BX2,WSPD,01/04/2024 18:00,1.10000,m/s,P
BX2,WSPD,01/04/2024 19:00,0.50000,m/s,P
BX2,WSPD,01/04/2024 20:00,0.40000,m/s,P
BX2,WSPD,01/04/2024 21:00,0.60000,m/s,P
BX2,WSPD,01/04/2024 22:00,0.50000,m/s,P
BX2,WSPD,01/04/2024 23:00,0.60000,m/s,P
BX2,WSPD,02/04/2024 00:00,1.00000,m/s,P
BX2,WSPD,02/04/2024 01:00,0.80000,m/s,P
BX2,WSPD,02/04/2024 02:00,0.80000,m/s,P
BX2,WSPD,02/04/2024 03:00,0.80000,m/s,P
BX2,WSPD,02/04/2024 04:00,0.80000,m/s,P
BX2,WSPD,02/04/2024 05:00,0.70000,m/s,P
BX2,WSPD,02/04/2024 06:00,0.80000,m/s,P
BX2,WSPD,02/04/2024 07:00,1.80000,m/s,P
BX2,WSPD,02/04/2024 08:00,2.30000,m/s,P
BX2,WSPD,02/04/2024 09:00,2.60000,m/s,P
BX2,WSPD,02/04/2024 10:00,2.30000,m/s,P
BX2,WSPD,02/04/2024 11:00,2.60000,m/s,P
BX2,WSPD,02/04/2024 12:00,2.20000,m/s,P
BX2,WSPD,02/04/2024 13:00,1.60000,m/s,P
BX2,WSPD,02/04/2024 14:00,1.70000,m/s,P
BX2,WSPD,02/04/2024 15:00,1.80000,m/s,P
BX2,WSPD,02/04/2024 16:00,1.30000,m/s,P
BX2,WSPD,02/04/2024 17:00,1.20000,m/s,P
BX2,WSPD,02/04/2024 18:00,1.10000,m/s,P
BX2,WSPD,02/04/2024 19:00,1.10000,m/s,P
BX2,WSPD,02/04/2024 20:00,1.60000,m/s,P
BX2,WSPD,02/04/2024 21:00,1.40000,m/s,P
BX2,WSPD,02/04/2024 22:00,1.20000,m/s,P
BX2,WSPD,02/04/2024 23:00,1.00000,m/s,P
BX2,WSPD,03/04/2024 00:00,0.90000,m/s,P
BX2,WSPD,03/04/2024 01:00,0.90000,m/s,P
BX2,WSPD,03/04/2024 02:00,0.90000,m/s,P
BX2,WSPD,03/04/2024 03:00,0.80000,m/s,P
BX2,WSPD,03/04/2024 04:00,0.80000,m/s,P
BX2,WSPD,03/04/2024 05:00,0.90000,m/s,P
BX2,WSPD,03/04/2024 06:00,0.90000,m/s,P
BX2,WSPD,03/04/2024 07:00,1.00000,m/s,P
BX2,WSPD,03/04/2024 08:00,1.90000,m/s,P
BX2,WSPD,03/04/2024 09:00,2.30000,m/s,P
BX2,WSPD,03/04/2024 10:00,2.20000,m/s,P
BX2,WSPD,03/04/2024 11:00,2.30000,m/s,P
BX2,WSPD,03/04/2024 12:00,3.00000,m/s,P
BX2,WSPD,03/04/2024 13:00,3.20000,m/s,P
BX2,WSPD,03/04/2024 14:00,3.50000,m/s,P
BX2,WSPD,03/04/2024 15:00,3.50000,m/s,P
BX2,WSPD,03/04/2024 16:00,2.90000,m/s,P
BX2,WSPD,03/04/2024 17:00,2.80000,m/s,P
BX2,WSPD,03/04/2024 18:00,1.90000,m/s,P
BX2,WSPD,03/04/2024 19:00,1.30000,m/s,P
BX2,WSPD,03/04/2024 20:00,1.00000,m/s,P
BX2,WSPD,03/04/2024 21:00,0.80000,m/s,P
BX2,WSPD,03/04/2024 22:00,0.60000,m/s,P
BX2,WSPD,03/04/2024 23:00,0.90000,m/s,P
BX2,WSPD,04/04/2024 00:00,0.90000,m/s,P
BX2,WSPD,04/04/2024 01:00,0.60000,m/s,P
BX2,WSPD,04/04/2024 02:00,0.90000,m/s,P
BX2,WSPD,04/04/2024 03:00,1.10000,m/s,P
BX2,WSPD,04/04/2024 04:00,1.70000,m/s,P
BX2,WSPD,04/04/2024 05:00,1.30000,m/s,P
BX2,WSPD,04/04/2024 06:00,1.80000,m/s,P
BX2,WSPD,04/04/2024 07:00,2.80000,m/s,P
BX2,WSPD,04/04/2024 08:00,2.80000,m/s,P
BX2,WSPD,04/04/2024 09:00,2.50000,m/s,P
BX2,WSPD,04/04/2024 10:00,3.30000,m/s,P
BX2,WSPD,04/04/2024 11:00,3.10000,m/s,P
BX2,WSPD,04/04/2024 12:00,3.30000,m/s,P
BX2,WSPD,04/04/2024 13:00,2.30000,m/s,P
